# DataSuite 2 reference corpus – slug <TAB> reference text, sorted by slug. See README.md.
lme4	Bates D, Maechler M, Bolker B, Walker S, Jagan M, Ly A (2026). _lme4: Linear Mixed-Effects Models using 'Eigen' and S4_. doi:10.32614/CRAN.package.lme4 <https://doi.org/10.32614/CRAN.package.lme4>. R package version {version}.
lmtest	Hothorn T, Zeileis A, Farebrother RW, Cummins C (2022). _lmtest: Testing Linear Regression Models_. doi:10.32614/CRAN.package.lmtest <https://doi.org/10.32614/CRAN.package.lmtest>. R package version {version}.
mediation	Tingley D, Yamamoto T, Hirose K, Keele L, Imai K, Trinh M, Wong W (2025). _mediation: Causal Mediation Analysis_. doi:10.32614/CRAN.package.mediation <https://doi.org/10.32614/CRAN.package.mediation>. R package version {version}.
method:2pl	Lord FM (1952). “A theory of test scores.” _Psychometric Monographs_, No. 7.
method:4pl	Barton MA, Lord FM (1981). “An upper asymptote for the three-parameter logistic item-response model.” _ETS Research Report Series_, *1981*(1). doi:10.1002/j.2333-8504.1981.tb01255.x
method:4pl	Loken E, Rulison KL (2010). “Estimation of a four-parameter item response theory model.” _British Journal of Mathematical and Statistical Psychology_, *63*(3), 509-525. doi:10.1348/000711009X474502
method:adjusted-mutual-information	Vinh NX, Epps J, Bailey J (2010). “Information theoretic measures for clusterings comparison: variants, properties, normalization and correction for chance.” _Journal of Machine Learning Research_, *11*, 2837-2854.
method:aft	Wei LJ (1992). “The accelerated failure time model: a useful alternative to the Cox regression model in survival analysis.” _Statistics in Medicine_, *11*(14-15), 1871-1879. doi:10.1002/sim.4780111409
method:aic	Akaike H (1974). “A new look at the statistical model identification.” _IEEE Transactions on Automatic Control_, *19*(6), 716-723. doi:10.1109/TAC.1974.1100705
method:aicc	Sugiura N (1978). “Further analysts of the data by Akaike's information criterion and the finite corrections.” _Communications in Statistics - Theory and Methods_, *7*(1), 13-26. doi:10.1080/03610927808827599
method:aicc	Hurvich CM, Tsai C (1989). “Regression and time series model selection in small samples.” _Biometrika_, *76*(2), 297-307. doi:10.1093/biomet/76.2.297
method:aisp	Hemker BT, Sijtsma K, Molenaar IW (1995). “Selection of unidimensional scales from a multidimensional item bank in the polytomous Mokken IRT model.” _Applied Psychological Measurement_, *19*(4), 337-352. doi:10.1177/014662169501900404
method:aisp	Straat JH, Van der Ark LA, Sijtsma K (2013). “Comparing optimization algorithms for item selection in Mokken scale analysis.” _Journal of Classification_, *30*(1), 75-99. doi:10.1007/s00357-013-9122-y
method:anderson-darling	Anderson TW, Darling DA (1952). “Asymptotic theory of certain ‘goodness of fit’ criteria based on stochastic processes.” _The Annals of Mathematical Statistics_, *23*(2), 193-212. doi:10.1214/aoms/1177729437
method:anderson-darling	Anderson TW, Darling DA (1954). “A test of goodness of fit.” _Journal of the American Statistical Association_, *49*(268), 765-769. doi:10.1080/01621459.1954.10501232
method:anderson-darling	Stephens MA (1974). “EDF statistics for goodness of fit and some comparisons.” _Journal of the American Statistical Association_, *69*(347), 730-737. doi:10.1080/01621459.1974.10480196
method:arima	Box GEP, Jenkins GM, Reinsel GC, Ljung GM (2015). _Time Series Analysis: Forecasting and Control_, 5th edition. Wiley, Hoboken.
method:augmented-dickey-fuller	Dickey DA, Fuller WA (1979). “Distribution of the estimators for autoregressive time series with a unit root.” _Journal of the American Statistical Association_, *74*(366), 427-431. doi:10.1080/01621459.1979.10482531
method:augmented-dickey-fuller	Said SE, Dickey DA (1984). “Testing for unit roots in autoregressive-moving average models of unknown order.” _Biometrika_, *71*(3), 599-607. doi:10.1093/biomet/71.3.599
method:autocorrelation-function	Bartlett MS (1946). “On the theoretical specification and sampling properties of autocorrelated time-series.” _Supplement to the Journal of the Royal Statistical Society_, *8*(1), 27-41. doi:10.2307/2983611
method:average-variance-extracted	Fornell C, Larcker DF (1981). “Evaluating structural equation models with unobservable variables and measurement error.” _Journal of Marketing Research_, *18*(1), 39-50. doi:10.1177/002224378101800104
method:bai-perron	Bai J, Perron P (1998). “Estimating and testing linear models with multiple structural changes.” _Econometrica_, *66*(1), 47-78. doi:10.2307/2998540
method:bai-perron	Bai J, Perron P (2003). “Computation and analysis of multiple structural change models.” _Journal of Applied Econometrics_, *18*(1), 1-22. doi:10.1002/jae.659
method:bar-chart	Playfair W (1786). _The Commercial and Political Atlas_. Debrett, London.
method:bca-bootstrap	Efron B (1987). “Better bootstrap confidence intervals.” _Journal of the American Statistical Association_, *82*(397), 171-185. doi:10.1080/01621459.1987.10478410
method:benjamini-hochberg	Benjamini Y, Hochberg Y (1995). “Controlling the false discovery rate: a practical and powerful approach to multiple testing.” _Journal of the Royal Statistical Society. Series B (Methodological)_, *57*(1), 289-300. doi:10.1111/j.2517-6161.1995.tb02031.x
method:benjamini-yekutieli	Benjamini Y, Yekutieli D (2001). “The control of the false discovery rate in multiple testing under dependency.” _The Annals of Statistics_, *29*(4), 1165-1188. doi:10.1214/aos/1013699998
method:bentler-invariant	Bentler PM (1977). “Factor simplicity index and transformations.” _Psychometrika_, *42*(2), 277-295. doi:10.1007/BF02294054
method:bic	Schwarz G (1978). “Estimating the dimension of a model.” _The Annals of Statistics_, *6*(2), 461-464. doi:10.1214/aos/1176344136
method:bifactor-rotation	Jennrich RI, Bentler PM (2011). “Exploratory bi-factor analysis.” _Psychometrika_, *76*(4), 537-549. doi:10.1007/s11336-011-9218-4
method:bifactor-rotation	Jennrich RI, Bentler PM (2012). “Exploratory bi-factor analysis: the oblique case.” _Psychometrika_, *77*(3), 442-454. doi:10.1007/s11336-012-9269-1
method:bimax	Prelić A, Bleuler S, Zimmermann P, Wille A, Bühlmann P, Gruissem W, Hennig L, Thiele L, Zitzler E (2006). “A systematic comparison and evaluation of biclustering methods for gene expression data.” _Bioinformatics_, *22*(9), 1122-1129. doi:10.1093/bioinformatics/btl060
